,IDX,RA_ICRS,DE_ICRS,Source,Plx,PM,pmRA,pmDE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,GRVSmag,e_GRVSmag,BR_RP,BP_G,G_RP,pscol,Teff,Dist,Rad,Lum_Flame,Mass_Flame,Age_Flame,z_Flame,SpType_ELS
225316,39643,34.20533349816,25.90732225836,106059102069430016,0.9627,10.722,2.953,-10.307,14.058876,0.002771,14.358058,0.003052,13.595469,0.003914,13.336897,0.113505,0.762589,0.299182,0.463407,,6023.5,1202.9965,1.5569,1.9849114,1.104,5.317,0.3993626,F      
296840,11167,59.82451556673,20.72896336451,51427599102602880,2.9341,41.543,3.778,-41.371,12.992084,0.002812,13.47469,0.002882,12.304963,0.003791,12.007609,0.03018,1.169726,0.482606,0.68712,,5759.4,326.0369,0.9835,0.8014636,0.888,12.903,0.48109627,G      
293520,7847,44.49857367379,18.97888667484,35990387127378688,3.2511,50.389,17.411,-47.285,13.096936,0.002789,13.541414,0.003025,12.471237,0.003981,12.199117,0.046139,1.070177,0.444478,0.625699,1.5006,5322.5,305.1484,0.8867,0.5354364,0.874,8.344,0.53845507,G      
87736,87736,109.59220723507,-10.1094684695,3047217384570990720,0.9342,3.322,-2.809,1.773,11.228806,0.002796,11.372644,0.002867,10.964204,0.003809,10.83661,0.00969,0.408441,0.143839,0.264602,1.6347,7625.3,1220.8546,3.8212,32.12575,2.132,0.835,0.33938545,A      
222920,37247,34.19002457767,22.16085699232,100022985095667328,2.1863,14.163,12.757,-6.152,12.095309,0.002766,12.428184,0.002928,11.593261,0.003839,11.40024,0.01458,0.834923,0.332874,0.502049,,5962.9,420.0639,1.3975,2.5548232,1.091,7.141,0.4469484,F      
400165,14492,60.18743758771,21.64849458855,53045118146414592,0.8604,5.336,-1.924,-4.977,11.369722,0.002771,11.992998,0.002842,10.608852,0.003795,10.29432,0.011304,1.384146,0.623276,0.76087,,4403.7,941.6823,9.2793,41.318253,3.004,0.377,0.0353398,K      
598011,12338,84.42319199401,-69.33545053801,4657652171491802368,0.0417,2.141,2.113,0.346,17.597153,0.003375,17.498627,0.016245,17.445446,0.018489,,,0.053181,-0.098526,0.151707,,15450.1,15645.118,1.3672,98.93517,,,1.3178514,O      
127578,27578,63.75753713201,56.08419929884,276799170379831424,0.1299,0.691,0.659,0.207,15.484234,0.00277,15.80403,0.003223,14.979445,0.003933,,,0.824586,0.319797,0.504789,,11469.8,3915.6401,2.024,70.527916,2.821,,0.86134285,B      
268528,82855,64.05203135394,32.63569051261,169618605099771520,2.5544,30.488,12.836,-27.654,12.192427,0.002762,12.629239,0.00284,11.581322,0.003787,11.330529,0.013848,1.047917,0.436812,0.611105,,5793.7,388.1874,1.5464,2.4378536,1.055,8.53,0.5205596,F      
389083,3410,47.41230327262,10.62015897729,15520882232087680,1.0499,10.547,4.327,-9.619,13.21614,0.002762,13.819866,0.002909,12.470448,0.003832,12.134602,0.029221,1.349419,0.603726,0.745692,,5092.9,876.9119,3.0635,6.180697,1.4,3.39,0.22201288,K      
494164,8491,55.00326790404,61.42520887004,486454494236538112,0.261,2.343,1.531,-1.773,15.090696,0.002796,16.08051,0.010636,14.029631,0.005966,13.533395,0.224252,2.050879,0.989813,1.061066,,4909.4,2045.4175,5.7668,44.66789,2.902,0.413,0.14313269,M      
69394,69394,320.28245771213,59.58090809446,2191468171863424896,1.0563,3.55,-3.024,-1.86,11.876705,0.002758,12.134582,0.002845,11.456757,0.003786,11.273426,0.013521,0.677825,0.257876,0.419949,,9002.0,973.7734,2.6901,38.67525,2.283,0.53,0.47474575,A      
364578,78905,82.74416769285,50.35575830786,213822610369722368,2.6008,5.135,3.727,3.532,12.845972,0.002765,13.239924,0.002828,12.288148,0.003797,12.050649,0.04237,0.951776,0.393951,0.557824,,5512.4,388.4833,1.0666,0.92738456,0.885,13.265,0.5808691,G      
414701,29028,28.57375473039,22.7015796431,98566480081832448,2.0184,64.929,63.3,14.454,14.305308,0.00277,14.762726,0.003761,13.679545,0.003981,13.568204,0.065773,1.08318,0.457418,0.625763,,5090.5,489.4413,0.8364,0.41591963,0.804,12.859,0.5903174,K      
317313,31640,45.30990767508,25.06335117782,114878594073805184,2.0995,26.622,-1.137,-26.598,14.425701,0.00277,14.983851,0.003133,13.708436,0.003933,13.387927,0.094447,1.275415,0.558149,0.717265,,5464.0,447.9211,0.7977,0.5548614,0.948,0.339,0.60369706,G      
385905,232,43.50439968509,1.76911887498,1207680379906048,3.4363,16.223,-2.926,15.957,13.393886,0.002765,13.857921,0.003077,12.763163,0.003884,12.518917,0.024374,1.094758,0.464035,0.630723,,5031.1,290.0871,0.7594,0.32739767,0.846,0.324,0.6168171,K      
